Ad Group,Keyword,Campaign,Criterion Type
recliners,discount recliners,SEM_Sofas,Phrase
recliners,recliners promotion,SEM_Sofas,Phrase
recliners,promotion recliners,SEM_Sofas,Phrase
recliners,recliners promo,SEM_Sofas,Phrase
recliners,promo recliners,SEM_Sofas,Phrase
recliners,recliners shop,SEM_Sofas,Phrase
recliners,shop recliners,SEM_Sofas,Phrase
sofa beds,sofa beds buy,SEM_Sofas,Phrase
sofa beds,buy sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds price,SEM_Sofas,Phrase
sofa beds,price sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds discount,SEM_Sofas,Phrase
sofa beds,discount sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds promotion,SEM_Sofas,Phrase
sofa beds,promotion sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds promo,SEM_Sofas,Phrase
sofa beds,promo sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds shop,SEM_Sofas,Phrase
sofa beds,shop sofa beds,SEM_Sofas,Phrase
